movement_id,product_id,movement_date,movement_type,quantity,warehouse,unit_cost,notes
25,396,2025-05-15 10:51:32.185644,Adjustment,64,Warehouse_C,219.85,New arrival
26,483,2025-01-28 10:51:32.185714,Return,-15,Warehouse_C,5.71,Seasonal stock
27,37,2025-07-07 10:51:32.185808,Purchase,-20,Warehouse_A,34.69,New arrival
28,100,2025-01-04 10:51:32.185956,Purchase,-29,Warehouse_B,64.76,Regular movement
29,435,2025-01-01 10:51:32.186057,Return,37,Warehouse_C,464.8,Seasonal stock
30,319,2025-05-12 10:51:32.186145,Sale,-51,Warehouse_B,18.21,New arrival
31,145,2025-01-05 10:51:32.186230,Adjustment,-46,Warehouse_A,255.12,Regular movement
32,227,2025-02-02 10:51:32.186310,Return,98,Warehouse_B,294.32,Regular movement
33,477,2025-03-18 10:51:32.186387,Purchase,43,Warehouse_C,51.01,Regular movement
34,165,2024-10-06 10:51:32.186460,Sale,29,Warehouse_B,135.0,New arrival
35,134,2024-10-12 10:51:32.186535,Return,47,Warehouse_A,368.74,Seasonal stock
36,437,2025-02-06 10:51:32.186607,Adjustment,-61,Warehouse_C,335.83,New arrival
37,79,2025-04-06 10:51:32.186680,Purchase,95,Warehouse_C,123.29,Clearance
38,13,2025-07-09 10:51:32.186751,Sale,-81,Warehouse_B,53.22,New arrival
39,458,2024-09-20 10:51:32.186824,Adjustment,15,Warehouse_C,422.42,New arrival
40,439,2025-08-08 10:51:32.186895,Purchase,-5,Warehouse_A,169.98,Seasonal stock
41,87,2024-09-27 10:51:32.186966,Sale,-76,Warehouse_C,486.47,New arrival
42,328,2024-11-09 10:51:32.187037,Adjustment,-58,Warehouse_B,66.12,Regular movement
43,282,2025-03-22 10:51:32.187109,Sale,-9,Warehouse_B,6.57,Regular movement
44,8,2024-08-31 10:51:32.187178,Purchase,-16,Warehouse_A,490.44,New arrival
45,68,2025-07-05 10:51:32.187249,Adjustment,-81,Warehouse_A,189.65,Seasonal stock
46,90,2025-05-08 10:51:32.187318,Adjustment,-66,Warehouse_C,229.1,Regular movement
47,204,2024-12-25 10:51:32.187388,Adjustment,-32,Warehouse_C,272.6,Regular movement
48,423,2024-12-08 10:51:32.187460,Return,50,Warehouse_B,235.72,Regular movement
49,431,2025-07-30 10:51:32.187531,Return,-79,Warehouse_C,475.68,New arrival
50,24,2025-02-06 10:51:32.187605,Sale,82,Warehouse_A,372.46,Seasonal stock
51,498,2024-11-14 10:51:32.187674,Sale,15,Warehouse_A,11.05,Seasonal stock
52,482,2025-06-12 10:51:32.187744,Adjustment,-37,Warehouse_B,71.4,Regular movement
53,113,2025-07-18 10:51:32.187813,Return,67,Warehouse_A,142.28,Seasonal stock
54,8,2024-09-18 10:51:32.187884,Purchase,-8,Warehouse_A,490.44,New arrival
55,291,2025-01-03 10:51:32.187953,Adjustment,11,Warehouse_B,280.32,Seasonal stock
56,206,2025-04-25 10:51:32.188024,Adjustment,-47,Warehouse_A,308.75,New arrival
57,485,2024-10-14 10:51:32.188093,Return,-91,Warehouse_A,395.68,Regular movement
58,49,2024-09-03 10:51:32.188167,Purchase,-36,Warehouse_C,413.36,Clearance
59,20,2025-04-18 10:51:32.188237,Return,-31,Warehouse_A,385.43,Seasonal stock
60,263,2025-02-04 10:51:32.188308,Return,25,Warehouse_B,347.63,Regular movement
61,234,2025-04-24 10:51:32.188379,Adjustment,-41,Warehouse_B,434.35,Seasonal stock
62,92,2025-03-29 10:51:32.188450,Adjustment,-81,Warehouse_A,481.5,New arrival
63,155,2024-10-05 10:51:32.188520,Adjustment,-48,Warehouse_C,189.13,New arrival
64,492,2025-08-17 10:51:32.188589,Adjustment,77,Warehouse_B,15.3,New arrival
65,49,2025-02-02 10:51:32.188657,Adjustment,-42,Warehouse_A,413.36,New arrival
66,120,2025-07-26 10:51:32.188730,Adjustment,-10,Warehouse_C,329.06,Clearance
67,5,2024-10-01 10:51:32.188800,Sale,-69,Warehouse_B,55.31,Clearance
68,330,2024-10-09 10:51:32.188870,Return,-47,Warehouse_C,255.17,Regular movement
69,460,2025-02-15 10:51:32.188940,Return,-35,Warehouse_B,451.58,Seasonal stock
70,272,2025-01-29 10:51:32.189008,Sale,70,Warehouse_B,426.12,Clearance
71,104,2024-10-28 10:51:32.189078,Adjustment,-63,Warehouse_A,79.07,Clearance
72,264,2025-03-28 10:51:32.189146,Adjustment,19,Warehouse_B,173.58,New arrival
73,357,2024-11-08 10:51:32.189215,Sale,93,Warehouse_B,376.95,Clearance
74,145,2024-08-28 10:51:32.189282,Sale,80,Warehouse_C,255.12,Seasonal stock
75,465,2025-07-01 10:51:32.189352,Return,27,Warehouse_A,458.75,Regular movement
76,89,2025-01-18 10:51:32.189422,Return,-26,Warehouse_A,56.65,New arrival
77,395,2024-11-14 10:51:32.189490,Sale,83,Warehouse_C,82.77,Clearance
78,238,2025-05-04 10:51:32.189559,Sale,12,Warehouse_B,338.5,Regular movement
79,58,2025-01-08 10:51:32.189629,Return,-65,Warehouse_A,310.87,Seasonal stock
80,77,2025-05-15 10:51:32.189699,Return,-9,Warehouse_B,32.22,New arrival
81,230,2025-06-20 10:51:32.189774,Adjustment,87,Warehouse_C,368.15,Seasonal stock
82,203,2025-06-01 10:51:32.189846,Sale,-87,Warehouse_C,467.23,New arrival
83,18,2025-07-08 10:51:32.189921,Purchase,22,Warehouse_C,442.75,Clearance
84,194,2025-07-07 10:51:32.189994,Adjustment,53,Warehouse_A,187.85,Clearance
85,146,2024-11-06 10:51:32.190066,Adjustment,-25,Warehouse_C,453.35,Clearance
86,373,2025-07-20 10:51:32.190141,Adjustment,-5,Warehouse_A,241.97,Clearance
87,229,2025-05-04 10:51:32.190210,Sale,36,Warehouse_A,295.86,Clearance
88,460,2025-02-26 10:51:32.190280,Purchase,49,Warehouse_C,451.58,New arrival
89,140,2025-01-10 10:51:32.190347,Purchase,97,Warehouse_C,417.79,Clearance
90,347,2025-04-09 10:51:32.190417,Purchase,15,Warehouse_A,303.88,Clearance
91,361,2025-03-07 10:51:32.190484,Adjustment,-55,Warehouse_A,463.85,Seasonal stock
92,294,2025-08-08 10:51:32.190554,Sale,48,Warehouse_C,417.61,Regular movement
93,179,2024-12-11 10:51:32.190621,Return,56,Warehouse_A,144.67,New arrival
94,300,2025-03-13 10:51:32.190692,Adjustment,89,Warehouse_A,80.74,Clearance
95,62,2024-09-18 10:51:32.190760,Purchase,-18,Warehouse_C,195.99,Clearance
96,363,2024-09-18 10:51:32.190830,Adjustment,-88,Warehouse_B,335.01,Seasonal stock
97,326,2024-12-08 10:51:32.190898,Purchase,71,Warehouse_B,209.39,Clearance
98,95,2025-04-24 10:51:32.190968,Adjustment,4,Warehouse_A,188.15,Clearance
99,413,2025-01-14 10:51:32.191036,Sale,-98,Warehouse_B,130.01,Clearance
100,394,2025-02-20 10:51:32.191104,Sale,-55,Warehouse_C,463.15,Regular movement
101,474,2024-10-05 10:51:32.191175,Purchase,-4,Warehouse_C,279.78,Regular movement
102,116,2024-11-17 10:51:32.191247,Return,-25,Warehouse_C,495.81,New arrival
103,202,2024-09-12 10:51:32.191323,Purchase,-47,Warehouse_C,308.43,New arrival
104,184,2025-01-13 10:51:32.191396,Adjustment,-62,Warehouse_A,216.26,Clearance
105,137,2025-02-28 10:51:32.191465,Return,-58,Warehouse_C,453.1,Regular movement
106,303,2024-12-28 10:51:32.191532,Adjustment,11,Warehouse_B,189.35,Regular movement
107,130,2025-01-19 10:51:32.191601,Purchase,28,Warehouse_A,178.91,New arrival
108,300,2024-09-26 10:51:32.191668,Purchase,-91,Warehouse_C,80.74,New arrival
109,163,2025-02-07 10:51:32.191738,Sale,-92,Warehouse_C,223.88,New arrival
110,417,2024-08-21 10:51:32.191806,Return,-87,Warehouse_C,408.85,Regular movement
111,64,2025-04-13 10:51:32.191875,Return,-77,Warehouse_B,441.27,Clearance
112,270,2024-11-27 10:51:32.191943,Adjustment,-90,Warehouse_A,88.33,Seasonal stock
113,91,2025-06-25 10:51:32.192012,Purchase,77,Warehouse_A,469.47,New arrival
114,154,2025-01-02 10:51:32.192080,Return,-59,Warehouse_A,388.8,Regular movement
115,285,2025-04-15 10:51:32.192149,Return,30,Warehouse_A,370.24,New arrival
116,407,2024-11-18 10:51:32.192216,Sale,55,Warehouse_B,193.06,Seasonal stock
117,497,2025-06-30 10:51:32.192285,Purchase,-85,Warehouse_C,209.73,Clearance
118,323,2025-07-28 10:51:32.192355,Sale,96,Warehouse_B,460.1,New arrival
119,144,2025-07-25 10:51:32.192423,Return,9,Warehouse_A,418.63,Regular movement
120,22,2025-08-17 10:51:32.192493,Sale,74,Warehouse_A,93.63,Clearance
121,173,2024-11-06 10:51:32.192565,Purchase,-46,Warehouse_A,157.8,Seasonal stock
122,495,2025-05-12 10:51:32.192634,Purchase,-66,Warehouse_A,324.95,New arrival
123,27,2025-07-10 10:51:32.192702,Sale,-90,Warehouse_A,148.59,Seasonal stock
124,193,2025-03-02 10:51:32.192772,Return,-75,Warehouse_A,153.33,New arrival
125,411,2025-06-27 10:51:32.192841,Return,20,Warehouse_A,155.61,Regular movement
126,390,2025-08-04 10:51:32.192909,Purchase,-83,Warehouse_B,148.98,Regular movement
127,251,2025-03-21 10:51:32.192979,Sale,66,Warehouse_A,302.09,Regular movement
128,391,2025-02-13 10:51:32.193048,Adjustment,54,Warehouse_B,347.49,Regular movement
129,238,2024-09-17 10:51:32.193117,Adjustment,48,Warehouse_A,338.5,Clearance
130,280,2024-11-12 10:51:32.193185,Purchase,-85,Warehouse_B,443.51,Clearance
131,461,2025-02-02 10:51:32.193254,Purchase,8,Warehouse_C,133.84,New arrival
132,336,2025-07-27 10:51:32.193321,Adjustment,-7,Warehouse_A,460.76,Seasonal stock
133,222,2025-04-18 10:51:32.193390,Return,-53,Warehouse_C,338.2,Clearance
134,475,2025-07-24 10:51:32.193459,Return,-99,Warehouse_A,257.58,Seasonal stock
135,81,2024-11-16 10:51:32.193525,Adjustment,-52,Warehouse_C,134.03,Regular movement
136,274,2024-09-18 10:51:32.193594,Sale,-91,Warehouse_C,446.59,Seasonal stock
137,156,2025-02-15 10:51:32.193662,Purchase,-13,Warehouse_B,262.32,Clearance
138,432,2024-09-18 10:51:32.193731,Adjustment,-72,Warehouse_B,41.93,Clearance
139,326,2024-10-26 10:51:32.193799,Purchase,47,Warehouse_A,209.39,Seasonal stock
140,430,2025-07-17 10:51:32.193866,Return,96,Warehouse_A,32.68,Regular movement
141,476,2025-04-25 10:51:32.193935,Sale,-41,Warehouse_A,80.42,New arrival
142,147,2025-01-08 10:51:32.194003,Adjustment,44,Warehouse_C,14.0,Seasonal stock
143,351,2025-08-02 10:51:32.194071,Return,50,Warehouse_A,32.23,Seasonal stock
144,129,2025-03-06 10:51:32.194142,Adjustment,-90,Warehouse_A,80.41,Seasonal stock
145,78,2024-08-28 10:51:32.194210,Return,-69,Warehouse_C,296.3,New arrival
146,402,2024-12-04 10:51:32.194280,Return,-65,Warehouse_C,20.52,Seasonal stock
147,218,2024-10-14 10:51:32.194349,Adjustment,-31,Warehouse_B,93.1,Seasonal stock
148,251,2025-06-02 10:51:32.194419,Purchase,77,Warehouse_C,302.09,Clearance
149,72,2025-03-06 10:51:32.194488,Adjustment,-85,Warehouse_B,138.05,Seasonal stock
150,493,2025-04-07 10:51:32.194561,Purchase,-24,Warehouse_B,242.68,New arrival
151,446,2025-04-17 10:51:32.194629,Adjustment,-61,Warehouse_B,497.97,Regular movement
152,360,2025-03-21 10:51:32.194697,Purchase,66,Warehouse_B,85.83,Regular movement
153,4,2025-08-05 10:51:32.194765,Purchase,-53,Warehouse_A,74.15,Clearance
154,455,2025-05-23 10:51:32.194833,Sale,31,Warehouse_B,199.31,Seasonal stock
155,213,2025-06-24 10:51:32.194900,Return,24,Warehouse_A,163.6,Regular movement
156,109,2025-04-14 10:51:32.194969,Return,40,Warehouse_A,192.68,Clearance
157,433,2024-12-26 10:51:32.195039,Purchase,-33,Warehouse_B,81.08,Seasonal stock
158,274,2025-04-26 10:51:32.195107,Return,97,Warehouse_A,446.59,Seasonal stock
159,421,2025-04-21 10:51:32.195176,Sale,12,Warehouse_B,308.54,Seasonal stock
160,18,2025-07-09 10:51:32.195244,Adjustment,-24,Warehouse_B,442.75,Regular movement
161,98,2024-09-24 10:51:32.195312,Purchase,8,Warehouse_B,397.78,Clearance
162,186,2025-03-17 10:51:32.195381,Sale,-48,Warehouse_C,162.76,Regular movement
163,125,2025-03-07 10:51:32.195450,Sale,-65,Warehouse_C,298.95,New arrival
164,377,2024-09-24 10:51:32.195518,Return,94,Warehouse_C,305.35,Regular movement
165,304,2025-03-24 10:51:32.195589,Return,13,Warehouse_B,225.69,New arrival
166,498,2025-02-03 10:51:32.195656,Adjustment,23,Warehouse_A,11.05,Clearance
167,300,2025-08-10 10:51:32.195727,Adjustment,-29,Warehouse_C,80.74,Regular movement
168,100,2024-11-13 10:51:32.195849,Return,-57,Warehouse_B,64.76,Regular movement
169,381,2025-03-26 10:51:32.195944,Return,16,Warehouse_A,187.12,Regular movement
170,400,2025-07-13 10:51:32.196021,Purchase,-77,Warehouse_C,493.42,Regular movement
171,64,2024-12-28 10:51:32.196096,Return,-7,Warehouse_C,441.27,Regular movement
172,161,2025-05-07 10:51:32.196173,Purchase,-52,Warehouse_C,158.28,New arrival
173,33,2025-08-11 10:51:32.196245,Return,48,Warehouse_B,57.21,Clearance
174,320,2024-11-15 10:51:32.196319,Purchase,30,Warehouse_C,491.47,Clearance
175,26,2025-02-26 10:51:32.196395,Adjustment,41,Warehouse_A,490.45,Clearance
176,22,2024-09-27 10:51:32.196469,Purchase,62,Warehouse_C,93.63,New arrival
177,334,2025-05-02 10:51:32.196542,Adjustment,67,Warehouse_A,61.56,New arrival
178,199,2024-09-12 10:51:32.196615,Sale,-35,Warehouse_C,266.99,New arrival
179,445,2025-08-12 10:51:32.196686,Sale,98,Warehouse_B,317.01,Regular movement
180,121,2025-05-29 10:51:32.196758,Purchase,-59,Warehouse_A,264.94,Seasonal stock
181,437,2025-01-23 10:51:32.196830,Adjustment,91,Warehouse_B,335.83,New arrival
182,433,2025-02-23 10:51:32.196903,Purchase,60,Warehouse_A,81.08,Seasonal stock
183,299,2025-06-07 10:51:32.196974,Purchase,-80,Warehouse_A,451.39,Clearance
184,36,2025-08-07 10:51:32.197047,Adjustment,68,Warehouse_A,427.24,Clearance
185,178,2025-06-29 10:51:32.197119,Purchase,-39,Warehouse_C,298.49,Seasonal stock
186,163,2025-04-27 10:51:32.197191,Return,-34,Warehouse_C,223.88,Regular movement
187,157,2024-10-01 10:51:32.197271,Purchase,-29,Warehouse_B,37.37,Clearance
188,486,2024-10-23 10:51:32.197345,Sale,57,Warehouse_A,153.38,New arrival
189,492,2024-11-28 10:51:32.197416,Return,56,Warehouse_C,15.3,Clearance
190,392,2024-10-31 10:51:32.197488,Purchase,90,Warehouse_C,138.28,Seasonal stock
191,128,2025-04-01 10:51:32.197561,Purchase,65,Warehouse_C,202.95,New arrival
192,22,2025-04-17 10:51:32.197633,Return,-83,Warehouse_B,93.63,Regular movement
193,256,2025-05-30 10:51:32.197706,Sale,91,Warehouse_B,148.8,Regular movement
194,132,2025-03-26 10:51:32.197776,Sale,-96,Warehouse_B,94.09,New arrival
195,18,2025-04-07 10:51:32.197848,Adjustment,-45,Warehouse_C,442.75,Seasonal stock
196,181,2025-05-29 10:51:32.197918,Purchase,90,Warehouse_A,467.48,New arrival
197,235,2024-11-20 10:51:32.197990,Purchase,34,Warehouse_B,263.36,New arrival
198,15,2024-09-30 10:51:32.198063,Sale,5,Warehouse_A,90.97,New arrival
199,499,2025-07-09 10:51:32.198135,Sale,73,Warehouse_B,446.76,Clearance
200,447,2025-07-11 10:51:32.198207,Return,-93,Warehouse_B,154.58,Seasonal stock
201,470,2025-03-02 10:51:32.198282,Return,39,Warehouse_C,395.28,Seasonal stock
202,266,2025-07-17 10:51:32.198355,Sale,29,Warehouse_C,154.27,Seasonal stock
203,394,2025-02-11 10:51:32.198430,Purchase,-39,Warehouse_B,463.15,Clearance
204,77,2024-10-08 10:51:32.198505,Purchase,39,Warehouse_C,32.22,Regular movement
205,58,2025-02-14 10:51:32.198576,Sale,-87,Warehouse_A,310.87,Regular movement
206,463,2025-08-13 10:51:32.198649,Return,49,Warehouse_C,294.74,Seasonal stock
207,393,2024-08-20 10:51:32.198719,Purchase,12,Warehouse_A,263.2,New arrival
208,470,2025-07-04 10:51:32.198792,Return,-23,Warehouse_B,395.28,Seasonal stock
209,336,2025-07-02 10:51:32.198862,Return,53,Warehouse_A,460.76,Seasonal stock
210,219,2024-12-12 10:51:32.198935,Adjustment,27,Warehouse_C,403.14,Regular movement
211,469,2025-01-30 10:51:32.199006,Purchase,-45,Warehouse_B,496.21,Clearance
212,492,2025-02-26 10:51:32.199078,Sale,7,Warehouse_A,15.3,Regular movement
213,128,2025-01-18 10:51:32.199148,Purchase,-81,Warehouse_B,202.95,Clearance
214,436,2024-09-09 10:51:32.199219,Adjustment,13,Warehouse_C,138.71,Seasonal stock
215,184,2025-02-24 10:51:32.199291,Adjustment,-65,Warehouse_A,216.26,Regular movement
216,199,2024-12-03 10:51:32.199361,Sale,15,Warehouse_B,266.99,Seasonal stock
217,79,2025-05-31 10:51:32.199432,Return,-66,Warehouse_A,123.29,Seasonal stock
218,18,2025-07-03 10:51:32.199507,Adjustment,-59,Warehouse_A,442.75,New arrival
219,141,2024-09-05 10:51:32.199771,Return,-37,Warehouse_C,188.23,New arrival
220,500,2024-09-29 10:51:32.199913,Adjustment,-40,Warehouse_B,447.99,Clearance
221,222,2025-03-07 10:51:32.200000,Sale,72,Warehouse_A,338.2,New arrival
222,390,2025-03-11 10:51:32.200078,Adjustment,-85,Warehouse_C,148.98,Clearance
223,480,2025-05-04 10:51:32.200158,Adjustment,84,Warehouse_A,144.23,Clearance
224,88,2025-04-29 10:51:32.200233,Purchase,-37,Warehouse_C,89.09,Clearance
225,475,2024-10-02 10:51:32.200306,Return,-13,Warehouse_B,257.58,Clearance
226,138,2024-12-02 10:51:32.200379,Return,-40,Warehouse_A,485.51,Seasonal stock
227,92,2025-02-09 10:51:32.200453,Return,17,Warehouse_B,481.5,Clearance
228,237,2025-04-03 10:51:32.200524,Purchase,94,Warehouse_A,76.13,New arrival
229,200,2024-10-31 10:51:32.200598,Adjustment,13,Warehouse_B,221.3,Regular movement
230,68,2024-11-04 10:51:32.200669,Return,66,Warehouse_A,189.65,New arrival
231,452,2025-04-07 10:51:32.200740,Return,-64,Warehouse_A,354.56,Seasonal stock
232,219,2024-12-28 10:51:32.200813,Purchase,87,Warehouse_B,403.14,Seasonal stock
233,60,2025-04-25 10:51:32.200884,Purchase,-26,Warehouse_B,15.42,Regular movement
234,308,2024-11-11 10:51:32.200957,Adjustment,2,Warehouse_A,347.08,Clearance
235,271,2025-06-06 10:51:32.201027,Return,23,Warehouse_C,356.39,Clearance
236,120,2025-07-13 10:51:32.201099,Return,-72,Warehouse_A,329.06,Regular movement
237,100,2024-08-31 10:51:32.201168,Sale,-62,Warehouse_A,64.76,New arrival
238,222,2024-10-09 10:51:32.201240,Sale,-3,Warehouse_A,338.2,New arrival
239,340,2024-12-11 10:51:32.201310,Return,3,Warehouse_C,86.55,Seasonal stock
240,202,2025-07-03 10:51:32.201380,Adjustment,-80,Warehouse_B,308.43,New arrival
241,45,2025-01-26 10:51:32.201451,Return,42,Warehouse_B,346.8,Regular movement
242,177,2024-11-28 10:51:32.201525,Adjustment,36,Warehouse_B,31.17,New arrival
243,376,2025-02-25 10:51:32.201597,Sale,31,Warehouse_C,485.16,Clearance
244,317,2024-08-26 10:51:32.201665,Purchase,-88,Warehouse_B,430.11,Seasonal stock
245,7,2025-04-28 10:51:32.201734,Adjustment,10,Warehouse_A,5.84,Regular movement
246,264,2025-04-02 10:51:32.201809,Purchase,-7,Warehouse_C,173.58,Regular movement
247,40,2025-07-12 10:51:32.201878,Adjustment,-98,Warehouse_C,179.91,Seasonal stock
248,202,2025-07-30 10:51:32.201951,Purchase,32,Warehouse_B,308.43,Regular movement
249,71,2025-07-09 10:51:32.202025,Purchase,71,Warehouse_C,28.9,Regular movement
250,375,2025-08-06 10:51:32.202093,Purchase,-53,Warehouse_C,318.03,Seasonal stock
251,165,2025-02-23 10:51:32.202163,Sale,-79,Warehouse_A,135.0,New arrival
252,177,2025-05-27 10:51:32.202233,Return,-17,Warehouse_A,31.17,Seasonal stock
253,281,2025-03-22 10:51:32.202304,Purchase,12,Warehouse_C,447.56,Regular movement
254,481,2025-01-26 10:51:32.202372,Purchase,30,Warehouse_B,62.36,Seasonal stock
255,311,2024-10-14 10:51:32.202441,Purchase,-52,Warehouse_C,389.83,Clearance
256,293,2025-04-15 10:51:32.202512,Purchase,8,Warehouse_C,387.46,New arrival
257,81,2025-02-18 10:51:32.202580,Return,-17,Warehouse_B,134.03,Seasonal stock
258,476,2025-04-12 10:51:32.202650,Adjustment,-15,Warehouse_B,80.42,Clearance
259,499,2025-01-12 10:51:32.202718,Sale,13,Warehouse_A,446.76,Regular movement
260,14,2024-09-22 10:51:32.202788,Adjustment,60,Warehouse_C,467.76,Regular movement
261,450,2025-06-03 10:51:32.202856,Return,81,Warehouse_A,250.57,New arrival
262,367,2024-09-08 10:51:32.202929,Return,43,Warehouse_B,337.44,Seasonal stock
263,455,2024-10-07 10:51:32.202998,Adjustment,-43,Warehouse_A,199.31,Clearance
264,357,2025-08-15 10:51:32.203069,Sale,28,Warehouse_A,376.95,New arrival
265,356,2024-12-16 10:51:32.203139,Return,93,Warehouse_B,170.4,Seasonal stock
266,24,2024-12-19 10:51:32.203207,Return,-84,Warehouse_C,372.46,New arrival
267,421,2025-06-20 10:51:32.203278,Adjustment,54,Warehouse_B,308.54,Regular movement
268,60,2025-08-01 10:51:32.203346,Purchase,-56,Warehouse_C,15.42,New arrival
269,365,2025-03-06 10:51:32.203416,Return,-85,Warehouse_A,29.15,New arrival
270,149,2025-05-07 10:51:32.203485,Return,-51,Warehouse_B,103.22,Seasonal stock
271,491,2024-09-26 10:51:32.203554,Purchase,13,Warehouse_B,412.21,Seasonal stock
272,43,2025-03-11 10:51:32.203623,Sale,14,Warehouse_C,304.69,Seasonal stock
273,273,2025-02-16 10:51:32.203692,Adjustment,-15,Warehouse_C,86.59,New arrival
274,228,2025-01-23 10:51:32.203762,Return,56,Warehouse_C,272.97,Regular movement
275,376,2025-08-12 10:51:32.203830,Purchase,-75,Warehouse_C,485.16,Clearance
276,395,2024-10-03 10:51:32.203898,Adjustment,-77,Warehouse_C,82.77,Regular movement
277,154,2025-06-30 10:51:32.203965,Adjustment,95,Warehouse_C,388.8,Clearance
278,243,2025-05-03 10:51:32.204035,Return,51,Warehouse_C,129.74,New arrival
279,369,2025-05-01 10:51:32.204103,Adjustment,67,Warehouse_C,12.79,Clearance
280,390,2025-03-24 10:51:32.204171,Return,78,Warehouse_C,148.98,Clearance
281,110,2025-08-10 10:51:32.204238,Purchase,-60,Warehouse_C,124.88,Regular movement
282,169,2024-09-25 10:51:32.204308,Sale,-69,Warehouse_A,290.49,New arrival
283,34,2025-03-19 10:51:32.204376,Sale,6,Warehouse_B,59.51,New arrival
284,433,2025-06-24 10:51:32.204444,Return,-78,Warehouse_C,81.08,Regular movement
285,331,2024-09-04 10:51:32.204512,Adjustment,34,Warehouse_A,358.37,Regular movement
286,464,2025-08-17 10:51:32.204581,Adjustment,-53,Warehouse_A,49.2,Regular movement
287,120,2025-03-02 10:51:32.204649,Return,91,Warehouse_B,329.06,Clearance
288,117,2024-09-07 10:51:32.204717,Sale,-2,Warehouse_C,359.11,Clearance
289,233,2024-08-23 10:51:32.204784,Sale,-26,Warehouse_C,406.81,Regular movement
290,119,2025-05-25 10:51:32.204854,Return,-71,Warehouse_C,33.51,Seasonal stock
291,463,2024-08-23 10:51:32.204922,Adjustment,64,Warehouse_C,294.74,Regular movement
292,220,2025-04-02 10:51:32.204991,Return,-96,Warehouse_B,488.91,Regular movement
293,233,2025-05-26 10:51:32.205059,Purchase,30,Warehouse_B,406.81,Seasonal stock
294,105,2025-01-07 10:51:32.205128,Sale,-2,Warehouse_C,361.68,New arrival
295,171,2025-06-16 10:51:32.205196,Adjustment,-58,Warehouse_C,333.08,New arrival
296,243,2024-08-19 10:51:32.205264,Return,-37,Warehouse_C,129.74,Clearance
297,81,2024-09-26 10:51:32.205331,Purchase,-6,Warehouse_B,134.03,Regular movement
298,329,2025-07-10 10:51:32.205400,Purchase,3,Warehouse_B,330.93,Seasonal stock
299,304,2025-01-24 10:51:32.205470,Purchase,-83,Warehouse_B,225.69,Seasonal stock
300,71,2025-07-18 10:51:32.205538,Sale,-73,Warehouse_B,28.9,Clearance
301,279,2025-04-26 10:51:32.205608,Adjustment,-45,Warehouse_C,36.3,Regular movement
302,180,2025-03-17 10:51:32.205676,Return,-13,Warehouse_B,308.06,Seasonal stock
303,356,2024-08-31 10:51:32.205745,Return,93,Warehouse_C,170.4,Clearance
304,3,2025-04-08 10:51:32.205813,Purchase,55,Warehouse_B,195.04,Clearance
305,253,2025-04-07 10:51:32.206047,Adjustment,-55,Warehouse_A,483.21,Seasonal stock
306,147,2025-05-15 10:51:32.206187,Purchase,-32,Warehouse_B,14.0,Clearance
307,359,2024-09-22 10:51:32.206272,Sale,20,Warehouse_C,262.3,Seasonal stock
308,67,2025-01-05 10:51:32.206392,Sale,-11,Warehouse_B,415.99,Seasonal stock
309,496,2025-03-05 10:51:32.206469,Sale,-65,Warehouse_B,343.74,Regular movement
